"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11223","Опубликовать отзыв на странице продукта","chromium","Wed Jan 01 01:54:45 GMT 2025","passed","Wed Jan 01 01:54:57 GMT 2025","","tests.spec.js","",""
"","10178","Выбрать валюту в карточке товара","chromium","Wed Jan 01 01:54:35 GMT 2025","passed","Wed Jan 01 01:54:45 GMT 2025","","tests.spec.js","",""
"","6438","Выбрать количество товара в карточке","chromium","Wed Jan 01 01:54:57 GMT 2025","passed","Wed Jan 01 01:55:03 GMT 2025","","tests.spec.js","",""
"","2355","Проверить пагинацию на главной странице","chromium","Wed Jan 01 01:54:28 GMT 2025","passed","Wed Jan 01 01:54:31 GMT 2025","","tests.spec.js","",""
"","3327","Проверить отображение товара на главной странице","chromium","Wed Jan 01 01:54:32 GMT 2025","passed","Wed Jan 01 01:54:35 GMT 2025","","tests.spec.js","",""
