"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9382","Выбрать количество товара в карточке","chromium","Mon Jan 13 01:52:47 GMT 2025","passed","Mon Jan 13 01:52:57 GMT 2025","","tests.spec.js","",""
"","11363","Опубликовать отзыв на странице продукта","chromium","Mon Jan 13 01:52:36 GMT 2025","passed","Mon Jan 13 01:52:47 GMT 2025","","tests.spec.js","",""
"","1953","Проверить пагинацию на главной странице","chromium","Mon Jan 13 01:52:18 GMT 2025","passed","Mon Jan 13 01:52:20 GMT 2025","","tests.spec.js","",""
"","12078","Выбрать валюту в карточке товара","chromium","Mon Jan 13 01:52:24 GMT 2025","passed","Mon Jan 13 01:52:36 GMT 2025","","tests.spec.js","",""
"","3535","Проверить отображение товара на главной странице","chromium","Mon Jan 13 01:52:20 GMT 2025","passed","Mon Jan 13 01:52:24 GMT 2025","","tests.spec.js","",""
