"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3593","Проверить отображение товара на главной странице","chromium","Thu Dec 26 01:45:53 GMT 2024","passed","Thu Dec 26 01:45:57 GMT 2024","","tests.spec.js","",""
"","6611","Выбрать количество товара в карточке","chromium","Thu Dec 26 01:46:18 GMT 2024","passed","Thu Dec 26 01:46:24 GMT 2024","","tests.spec.js","",""
"","1564","Проверить пагинацию на главной странице","chromium","Thu Dec 26 01:45:51 GMT 2024","passed","Thu Dec 26 01:45:53 GMT 2024","","tests.spec.js","",""
"","10174","Выбрать валюту в карточке товара","chromium","Thu Dec 26 01:45:57 GMT 2024","passed","Thu Dec 26 01:46:07 GMT 2024","","tests.spec.js","",""
"","11162","Опубликовать отзыв на странице продукта","chromium","Thu Dec 26 01:46:07 GMT 2024","passed","Thu Dec 26 01:46:18 GMT 2024","","tests.spec.js","",""
