"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11075","Опубликовать отзыв на странице продукта","chromium","Wed Dec 25 15:31:30 GMT 2024","passed","Wed Dec 25 15:31:41 GMT 2024","","tests.spec.js","",""
"","3572","Проверить отображение товара на главной странице","chromium","Wed Dec 25 15:31:17 GMT 2024","passed","Wed Dec 25 15:31:20 GMT 2024","","tests.spec.js","",""
"","5833","Выбрать количество товара в карточке","chromium","Wed Dec 25 15:31:41 GMT 2024","passed","Wed Dec 25 15:31:47 GMT 2024","","tests.spec.js","",""
"","9996","Выбрать валюту в карточке товара","chromium","Wed Dec 25 15:31:20 GMT 2024","passed","Wed Dec 25 15:31:30 GMT 2024","","tests.spec.js","",""
"","1644","Проверить пагинацию на главной странице","chromium","Wed Dec 25 15:31:14 GMT 2024","passed","Wed Dec 25 15:31:16 GMT 2024","","tests.spec.js","",""
