"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3042","Проверить пагинацию на главной странице","chromium","Mon Jan 27 01:46:16 GMT 2025","passed","Mon Jan 27 01:46:19 GMT 2025","","tests.spec.js","",""
"","7404","Выбрать количество товара в карточке","chromium","Mon Jan 27 01:46:44 GMT 2025","passed","Mon Jan 27 01:46:52 GMT 2025","","tests.spec.js","",""
"","11394","Опубликовать отзыв на странице продукта","chromium","Mon Jan 27 01:46:33 GMT 2025","passed","Mon Jan 27 01:46:44 GMT 2025","","tests.spec.js","",""
"","10353","Выбрать валюту в карточке товара","chromium","Mon Jan 27 01:46:23 GMT 2025","passed","Mon Jan 27 01:46:33 GMT 2025","","tests.spec.js","",""
"","3805","Проверить отображение товара на главной странице","chromium","Mon Jan 27 01:46:19 GMT 2025","passed","Mon Jan 27 01:46:23 GMT 2025","","tests.spec.js","",""
